dia,url,inicio,fim,descricao,local
2019-01-01,https://www.gov.br/planalto/pt-br/acompanhe-o-planalto/agenda-do-presidente-da-republica/2019-01-01,15h00,18h00,Solenidade de Posse,Palácio do Planalto
2019-01-02,https://www.gov.br/planalto/pt-br/acompanhe-o-planalto/agenda-do-presidente-da-republica/2019-01-02,09h00,10h00,"Cerimônia de transmissão do cargo de Ministro-Chefe da Casa Civil da Presidência da República, do Senhor Eliseu Padilha ao Senhor Onyx Lorenzoni; do cargo de Ministro da Secretaria-Geral da Presidência, do Senhor Ronaldo Fonseca ao Senhor Gustavo Bebianno; do cargo de Ministro da Secretaria de Governo, do Senhor Carlos Marun ao Senhor General Carlos Alberto; do cargo de Ministro da Segurança Institucional, do Senhor Sergio Etchegoyen ao Senhor General Augusto Heleno",Palácio do Planalto
2019-01-02,https://www.gov.br/planalto/pt-br/acompanhe-o-planalto/agenda-do-presidente-da-republica/2019-01-02,10h00,10h45,"Mike Pompeo, Ministro das Relações Exteriores dos EUA",Palácio do Planalto
2019-01-02,https://www.gov.br/planalto/pt-br/acompanhe-o-planalto/agenda-do-presidente-da-republica/2019-01-02,10h45,11h15,"Marcelo Rebelo de Sousa, Presidente de Portugal",Palácio do Planalto
2019-01-02,https://www.gov.br/planalto/pt-br/acompanhe-o-planalto/agenda-do-presidente-da-republica/2019-01-02,11h15,12h00,"Viktor Orban, Primeiro Ministro da Hungria",Palácio do Planalto
2019-01-02,https://www.gov.br/planalto/pt-br/acompanhe-o-planalto/agenda-do-presidente-da-republica/2019-01-02,12h00,12h15,"Ji Bingxuan, Vice-Presidente do Parlamento Chinês",Palácio do Planalto
2019-01-02,https://www.gov.br/planalto/pt-br/acompanhe-o-planalto/agenda-do-presidente-da-republica/2019-01-02,16h00,17h00,"Cerimônia de transmissão do cargo de Ministro da Defesa, do Senhor Joaquim Silva e Luna ao Senhor General Fernando Azevedo",Brasília/DF
2019-01-03,https://www.gov.br/planalto/pt-br/acompanhe-o-planalto/agenda-do-presidente-da-republica/2019-01-03,08h00,08h30,"Mauro Biancamano, Secretário-Executivo da Secretaria de Governo da Presidência da República",Palácio do Planalto
2019-01-03,https://www.gov.br/planalto/pt-br/acompanhe-o-planalto/agenda-do-presidente-da-republica/2019-01-03,08h30,09h00,"Francisco Fontenelle, Ministro-Conselheiro",Palácio do Planalto
2019-01-03,https://www.gov.br/planalto/pt-br/acompanhe-o-planalto/agenda-do-presidente-da-republica/2019-01-03,09h00,10h30,Reunião do Conselho de Governo,Palácio do Planalto
2019-01-03,https://www.gov.br/planalto/pt-br/acompanhe-o-planalto/agenda-do-presidente-da-republica/2019-01-03,14h00,14h30,Senador Eleito Flávio Bolsonaro (PSL/RJ),Palácio do Planalto
